ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1567351755,2025-06-16T10:16:03.652000,2025-06-16T10:17:57.399000,buy,0.1,0.1,ETHUSD,2633.67,2629.77,2629.77,,-0.13,0,-0.39,,,sl
1567344134,2025-06-16T10:11:00.094000,2025-06-16T10:14:21.350000,buy,0.01,0.01,BTCUSD,107210.6,107199.31,107199.31,,-0.16,0,-0.12,,,sl
1566673998,2025-06-16T04:20:02.406000,2025-06-16T04:25:05.478000,buy,0.01,0.01,BTCUSD,106106.8,106337.06,106337.06,,-0.16,0,2.3,,,sl
1566664748,2025-06-16T04:12:03.234000,2025-06-16T04:15:28.046000,buy,0.01,0.01,BTCUSD,106072.97,106102.49,106102.49,,-0.16,0,0.29,,,sl
1566602110,2025-06-16T03:34:00.690000,2025-06-16T03:35:06.410000,buy,0.01,0.01,BTCUSD,106041.97,106033.33,106022.08,,-0.16,0,-0.09,,,user
1566591732,2025-06-16T03:27:03.873000,2025-06-16T03:30:07.418000,buy,0.01,0.01,BTCUSD,106039.24,106015.29,106015.29,,-0.16,0,-0.24,,,sl
1566589425,2025-06-16T03:25:20.453000,2025-06-16T03:26:02.199000,buy,0.01,0.01,BTCUSD,106058.98,105998.71,105998.71,,-0.16,0,-0.6,,,sl
1566526493,2025-06-16T02:42:02.106000,2025-06-16T02:43:46.067000,buy,0.01,0.01,BTCUSD,105954.19,105922.53,105922.53,,-0.16,0,-0.31,,,sl
1566506515,2025-06-16T02:27:07.374000,2025-06-16T02:27:23.745000,buy,0.01,0.01,BTCUSD,105877.96,105853.03,,,-0.16,0,-0.25,,,user
1566478254,2025-06-16T02:05:36.704000,2025-06-16T02:07:48.957000,buy,0.01,0.01,BTCUSD,105968.58,105924.4,105924.4,,-0.16,0,-0.45,,,sl
1566458570,2025-06-16T01:51:01.236000,2025-06-16T01:59:39.316000,buy,0.01,0.01,BTCUSD,105674.28,105873.97,105873.97,,-0.16,0,2,,,sl
1566461456,2025-06-16T01:53:00.603000,2025-06-16T01:59:19.898000,buy,0.1,0.1,ETHUSD,2550.81,2556.32,2556.32,,-0.13,0,0.55,,,sl
1566448256,2025-06-16T01:44:00.338000,2025-06-16T01:49:03.750000,buy,0.01,0.01,BTCUSD,105631.94,105702.2,105702.2,,-0.16,0,0.7,,,sl
1566423630,2025-06-16T01:27:06.531000,2025-06-16T01:33:07.536000,sell,0.01,0.01,BTCUSD,105164.97,105128.95,105128.95,,-0.16,0,0.36,,,sl
1566395449,2025-06-16T01:09:04.872000,2025-06-16T01:19:19.471000,sell,0.1,0.1,ETHUSD,2534.93,2529.21,2529.21,,-0.13,0,0.57,,,sl
1566401070,2025-06-16T01:13:00.069000,2025-06-16T01:18:21.789000,sell,0.01,0.01,BTCUSD,105258.62,105184.46,105184.46,,-0.16,0,0.75,,,sl
1566337872,2025-06-16T00:38:11.276000,2025-06-16T00:39:29.021000,buy,0.01,0.01,BTCUSD,105732.24,105678.40000000001,105599.3,,-0.16,0,-0.54,,,user
1566320285,2025-06-16T00:27:24.654000,2025-06-16T00:29:27.378000,buy,0.01,0.01,BTCUSD,105728.18,105700.91,105700.91,,-0.16,0,-0.27,,,sl
1566322041,2025-06-16T00:28:02.962000,2025-06-16T00:28:57.563000,buy,0.1,0.1,ETHUSD,2554.97,2551.26,2551.26,,-0.13,0,-0.37,,,sl
1566292461,2025-06-16T00:05:00.631000,2025-06-16T00:08:25.863000,buy,0.01,0.01,BTCUSD,105679.83,105659.91,105659.91,,-0.16,0,-0.2,,,sl
1566287680,2025-06-16T00:03:02.565000,2025-06-16T00:03:12.192000,buy,0.01,0.01,BTCUSD,105638.51,105629.56,105629.56,,-0.16,0,-0.09,,,sl
1566282243,2025-06-15T23:57:52.794000,2025-06-16T00:00:41.510000,buy,0.01,0.01,BTCUSD,105629.74,105631.2,105631.2,,-0.16,0,0.01,,,sl
1565456663,2025-06-14T02:06:00.542000,2025-06-14T02:10:06.843000,sell,0.01,0.01,BTCUSD,105464.78,105466.95,105492.16,,-0.16,0,-0.02,,,user
1565455782,2025-06-14T02:00:00.657000,2025-06-14T02:00:23.596000,sell,0.01,0.01,BTCUSD,105503.59,105537.42,105537.42,,-0.16,0,-0.33,,,sl
1565454412,2025-06-14T01:55:00.144000,2025-06-14T01:56:39.991000,sell,0.01,0.01,BTCUSD,105502.55,105497.26000000001,105497.19,,-0.16,0,0.06,,,sl
1565452695,2025-06-14T01:42:07.325000,2025-06-14T01:44:25.316000,sell,0.01,0.01,BTCUSD,105536.66,105561.19,105587.48,,-0.16,0,-0.24,,,user
1565450581,2025-06-14T01:28:02.555000,2025-06-14T01:31:53.300000,sell,0.01,0.01,BTCUSD,105604.61,105577.57,105577.57,,-0.16,0,0.27,,,sl
1565445009,2025-06-14T01:05:24.550000,2025-06-14T01:06:48.223000,sell,0.01,0.01,BTCUSD,105617.53,105626.49,105626.49,,-0.16,0,-0.08,,,sl
